2025-12-16 14:03:53,155 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:05:02,061 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,545 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,656 | INFO | Backtest data aligned | lookback=60 | steps=1461
2025-12-16 14:07:51,937 | INFO | STEP 86 | Price=0.977616 | Next=0.976494 | logret=-0.001148 | eff=-0.001148 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 87 | Price=0.976494 | Next=0.983537 | logret=0.007186 | eff=0.007186 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 88 | Price=0.983537 | Next=0.981553 | logret=-0.002019 | eff=-0.002019 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 89 | Price=0.981553 | Next=0.977751 | logret=-0.003881 | eff=-0.003881 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 90 | Price=0.977751 | Next=0.980410 | logret=0.002716 | eff=0.002716 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 91 | Price=0.980410 | Next=0.986507 | logret=0.006200 | eff=0.006200 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 92 | Price=0.986507 | Next=0.982269 | logret=-0.004305 | eff=-0.004305 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 93 | Price=0.982269 | Next=0.970158 | logret=-0.012406 | eff=-0.012406 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 94 | Price=0.970158 | Next=0.972516 | logret=0.002427 | eff=0.002427 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 95 | Price=0.972516 | Next=0.968725 | logret=-0.003906 | eff=-0.003906 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 96 | Price=0.968725 | Next=0.968548 | logret=-0.000182 | eff=-0.000182 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 97 | Price=0.968548 | Next=0.965307 | logret=-0.003352 | eff=-0.003352 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,937 | INFO | STEP 98 | Price=0.965307 | Next=0.955263 | logret=-0.010460 | eff=-0.010460 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
